 awaiting normal unedited regular blocks and transition faces at each LOD	
2026/09/09 03:51:49.5588	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 128,128,1, Face = PositiveZ } index=13243 position=132096,131072,2016 cpu=1886.8375 gpu=1886.8375 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:49.5588	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 128,128,1, Face = PositiveZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.00012207031 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476682 elapsedMs=1.1137	
2026/09/09 03:51:49.5850	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 128,125,4, Face = PositiveY } index=4692 position=132128,129024,4064 cpu=3938.2927 gpu=3938.2927 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:49.5850	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 128,125,4, Face = PositiveY } generator=12 samples=126 readbackBytes=61556 maximumError=0 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476674 elapsedMs=1.3	
2026/09/09 03:51:49.6036	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 125,128,4, Face = PositiveX } index=68 position=129024,132128,4064 cpu=3937.499 gpu=3937.499 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:49.6036	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 125,128,4, Face = PositiveX } generator=12 samples=126 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476672 elapsedMs=1.2803	
2026/09/09 03:51:50.1030	[Generic] [VoxelWorld] density.audit.closest level=0 chunk=256,256,0 sample=8191,8192,7 cellSize=16 side=0 cpu=-13.447479 cached=-13.447479 gpu=-13.447479 error=0 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 03:51:50.1030	[Generic] [VoxelWorld] density.audit.closest level=0 chunk=256,256,0 sample=8225,8192,8 cellSize=16 side=1 cpu=1.123764 cached=1.123764 gpu=1.1237259 error=3.8146973E-05 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 03:51:50.1030	[Generic] [VoxelWorld] density.audit.block level=0 chunk=256,256,0 generator=12 settings="ProceduralTerrainSettings { WorldSeed = 1337, LandAmount = 0.6, MountainAmount = 0.35, PlainsAmount = 0.6, ContinentalScale = 131072, MountainRegionScale = 32768, LocalLandformScale = 8192, ReliefHeight = 3072, Ruggedness = 0.45, IsValid = True }" cellSize=16 samples=125 readbackBytes=171500 maximumError=6.1035156E-05 maximumLatticeError=0 nonFinite=0 densityMismatches=0 signMismatches=0 nearZero=0 boundsFailures=0 nearZeroSignMismatches=0 readbackNonFinite=0 solidProbe=True airProbe=True pendingLevels=120 elapsedMs=1.8548	
2026/09/09 03:51:50.2493	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 68,64,2, Face = NegativeX } index=4717 position=139264,131808,4032 cpu=3098.6238 gpu=3098.6238 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:50.2493	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 68,64,2, Face = NegativeX } generator=12 samples=126 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476608 elapsedMs=1.6906	
2026/09/09 03:51:50.2679	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 64,68,2, Face = NegativeY } index=4554 position=131072,139264,4032 cpu=3885.425 gpu=3885.425 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:50.2679	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 64,68,2, Face = NegativeY } generator=12 samples=126 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476352 elapsedMs=1.1334	
2026/09/09 03:51:50.2830	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 64,64,6, Face = NegativeZ } index=15388 position=133120,131072,12224 cpu=12085.954 gpu=12085.954 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:50.2830	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 64,64,6, Face = NegativeZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.0009765625 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719475328 elapsedMs=1.1215	
2026/09/09 03:51:50.2961	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 64,64,-3, Face = PositiveZ } index=4692 position=131008,133184,-4096 cpu=-351.38928 gpu=-351.38928 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:50.2961	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 64,64,-3, Face = PositiveZ } generator=12 samples=126 readbackBytes=61556 maximumError=6.1035156E-05 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719473280 elapsedMs=1.21	
2026/09/09 03:51:50.3225	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 64,59,2, Face = PositiveY } index=138 position=131072,122880,4032 cpu=3900.6106 gpu=3900.6106 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:50.3225	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 64,59,2, Face = PositiveY } generator=12 samples=126 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719472768 elapsedMs=1.0434	
2026/09/09 03:51:50.3419	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 59,64,2, Face = PositiveX } index=2 position=122880,131072,4032 cpu=3891.953 gpu=3891.953 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:50.3419	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 59,64,2, Face = PositiveX } generator=12 samples=126 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719472640 elapsedMs=1.0444	
2026/09/09 03:51:52.7660	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 36,32,1, Face = NegativeX } index=4754 position=147456,134912,3968 cpu=3259.288 gpu=3259.2878 error=0.00024414062 signMismatch=False nearZero=False	
2026/09/09 03:51:52.7660	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 36,32,1, Face = NegativeX } generator=12 samples=126 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719468544 elapsedMs=1.8626	
2026/09/09 03:51:52.7802	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 32,36,1, Face = NegativeY } index=4554 position=131072,147456,3968 cpu=3800.0059 gpu=3800.0059 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:52.7802	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 32,36,1, Face = NegativeY } generator=12 samples=126 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719452160 elapsedMs=1.137	
2026/09/09 03:51:52.7933	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 32,32,5, Face = NegativeZ } index=15388 position=135168,131072,20352 cpu=20118.518 gpu=20118.518 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:52.7933	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 32,32,5, Face = NegativeZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.001953125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719386624 elapsedMs=1.316	
2026/09/09 03:51:52.8094	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 32,32,-4, Face = PositiveZ } index=13211 position=131072,131072,-12416 cpu=-263.04065 gpu=-263.04062 error=3.0517578E-05 signMismatch=False nearZero=False	
2026/09/09 03:51:52.8094	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 32,32,-4, Face = PositiveZ } generator=12 samples=126 readbackBytes=61556 maximumError=3.0517578E-05 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719255552 elapsedMs=1.241	
2026/09/09 03:51:52.8379	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 32,27,1, Face = PositiveY } index=4692 position=135296,114688,3968 cpu=3838.8965 gpu=3838.8965 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:52.8379	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 32,27,1, Face = PositiveY } generator=12 samples=126 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719222784 elapsedMs=1.188	
2026/09/09 03:51:52.8565	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 27,32,1, Face = PositiveX } index=68 position=114688,135296,3968 cpu=3844.7542 gpu=3844.7542 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:52.8565	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 27,32,1, Face = PositiveX } generator=12 samples=126 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719214592 elapsedMs=1.2939	
2026/09/09 03:51:55.2090	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 20,16,1, Face = NegativeX } index=4733 position=163840,136064,7936 cpu=7549.469 gpu=7549.469 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:55.2090	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 20,16,1, Face = NegativeX } generator=12 samples=126 readbackBytes=61556 maximumError=0.001953125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68718952448 elapsedMs=1.414	
2026/09/09 03:51:55.2232	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 16,20,1, Face = NegativeY } index=1311 position=137088,163840,7936 cpu=5131.4795 gpu=5131.48 error=0.00048828125 signMismatch=False nearZero=False	
2026/09/09 03:51:55.2232	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 16,20,1, Face = NegativeY } generator=12 samples=126 readbackBytes=61556 maximumError=0.0009765625 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68717903872 elapsedMs=1.4761	
2026/09/09 03:51:55.2382	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 16,16,5, Face = NegativeZ } index=15289 position=139264,131840,40704 cpu=39770.95 gpu=39770.95 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:55.2382	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 16,16,5, Face = NegativeZ } generator=12 samples=126 readbackBytes=61556 maximumError=0 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68713709568 elapsedMs=0.9629	
2026/09/09 03:51:55.2509	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 16,16,-4, Face = PositiveZ } index=4760 position=139520,139520,-24576 cpu=-222.68454 gpu=-222.68454 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:55.2509	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 16,16,-4, Face = PositiveZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.00018310547 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68705320960 elapsedMs=1.1535	
2026/09/09 03:51:55.2754	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 16,11,1, Face = PositiveY } index=4692 position=139520,98304,7936 cpu=7702.1733 gpu=7702.1733 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:55.2754	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 16,11,1, Face = PositiveY } generator=12 samples=126 readbackBytes=61556 maximumError=0.0009765625 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68703223808 elapsedMs=1.1928	
2026/09/09 03:51:55.2947	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 11,16,1, Face = PositiveX } index=31 position=98304,134784,7936 cpu=5188.7783 gpu=5188.78 error=0.0014648438 signMismatch=False nearZero=False	
2026/09/09 03:51:55.2947	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 11,16,1, Face = PositiveX } generator=12 samples=126 readbackBytes=61556 maximumError=0.0014648438 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68702699520 elapsedMs=1.4234	
2026/09/09 03:51:57.6750	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 12,8,0, Face = NegativeX } index=4694 position=196608,131072,-512 cpu=-69.69678 gpu=-69.69679 error=1.5258789E-05 signMismatch=False nearZero=False	
2026/09/09 03:51:57.6750	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 12,8,0, Face = NegativeX } index=4662 position=196608,140544,-256 cpu=179.55365 gpu=179.55344 error=0.00021362305 signMismatch=False nearZero=False	
2026/09/09 03:51:57.6750	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 12,8,0, Face = NegativeX } generator=12 samples=127 readbackBytes=61556 maximumError=0.001953125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=True pendingFaces=68685922304 elapsedMs=1.4247	
2026/09/09 03:51:57.6889	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 8,12,0, Face = NegativeY } index=1657 position=141824,196608,-256 cpu=-0.15589523 gpu=-0.15691757 error=0.0010223389 signMismatch=False nearZero=False	
2026/09/09 03:51:57.6889	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 8,12,0, Face = NegativeY } index=3040 position=136704,196608,512 cpu=0.25628662 gpu=0.25628662 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:57.6889	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 8,12,0, Face = NegativeY } generator=12 samples=127 readbackBytes=61556 maximumError=0.0010223389 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=True pendingFaces=68618813440 elapsedMs=1.26	
2026/09/09 03:51:57.7022	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 8,8,4, Face = NegativeZ } index=15306 position=139264,132096,65024 cpu=64094.023 gpu=64094.023 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:57.7022	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 8,8,4, Face = NegativeZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.00390625 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68350377984 elapsedMs=1.1343	
2026/09/09 03:51:57.7157	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 8,8,-5, Face = PositiveZ } index=15223 position=147456,144896,-65024 cpu=-32367.766 gpu=-32367.766 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:57.7157	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 8,8,-5, Face = PositiveZ } generator=12 samples=126 readbackBytes=61556 maximumError=0 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=67813507072 elapsedMs=1.438	
2026/09/09 03:51:57.7411	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 8,3,0, Face = PositiveY } index=5154 position=132608,65280,768 cpu=-11.471436 gpu=-11.471558 error=0.00012207031 signMismatch=False nearZero=False	
2026/09/09 03:51:57.7411	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 8,3,0, Face = PositiveY } index=1177 position=134912,65536,512 cpu=16.904236 gpu=16.904144 error=9.1552734E-05 signMismatch=False nearZero=False	
2026/09/09 03:51:57.7411	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 8,3,0, Face = PositiveY } generator=12 samples=127 readbackBytes=61556 maximumError=0.0009765625 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=True pendingFaces=67679289344 elapsedMs=1.0303	
2026/09/09 03:51:57.7606	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 3,8,0, Face = PositiveX } index=53 position=65536,144128,-512 cpu=-1.47406 gpu=-1.4738922 error=0.00016784668 signMismatch=False nearZero=False	
2026/09/09 03:51:57.7606	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 3,8,0, Face = PositiveX } index=52 position=65536,143872,-512 cpu=2.5090942 gpu=2.5090637 error=3.0517578E-05 signMismatch=False nearZero=False	
2026/09/09 03:51:57.7606	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 3,8,0, Face = PositiveX } generator=12 samples=127 readbackBytes=61556 maximumError=0.001953125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=True pendingFaces=67645734912 elapsedMs=1.244	
2026/09/09 03:52:00.1363	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 5, CoarseLevel = 6, CoarseCoordinate = 8,4,0, Face = NegativeX } index=4760 position=262144,164864,-1024 cpu=624.3091 gpu=624.3092 error=0.00012207031 signMismatch=False nearZero=False	
2026/09/09 03:52:00.1365	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 5, CoarseLevel = 6, CoarseCoordinate = 8,4,0, Face = NegativeX } generator=12 samples=126 readbackBytes=61556 maximumError=0.001953125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=66571993088 elapsedMs=1.6282	
2026/09/09 03:52:00.1365	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 5, CoarseLevel = 6, CoarseCoordinate = 4,8,0, Face = NegativeY } index=1037 position=157184,262144,0 cpu=-0.65515137 gpu=-0.6551522 error=8.34465E-07 signMismatch=False nearZero=False	
2026/09/09 03:52:00.1365	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 5, CoarseLevel = 6, CoarseCoordinate = 4,8,0, Face = NegativeY } index=14597 position=154624,261120,0 cpu=1.4036865 gpu=1.4036939 error=7.390976E-06 signMismatch=False nearZero=False	
2026/09/09 03:52:00.1365	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 5, CoarseLevel = 6, CoarseCoordinate = 4,8,0, Face = NegativeY } generator=12 samples=127 readbackBytes=61556 maximumError=0.0029144287 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=True pendingFaces=62277025792 elapsedMs=0.9343	
2026/09/09 03:52:00.1638	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 5, CoarseLevel = 6, CoarseCoordinate = 4,4,4, Face = NegativeZ } index=14485 position=151552,158720,130048 cpu=127239.56 gpu=127239.56 error=0 signMismatch=False nearZero=False	
2026/09/09 03:52:00.1638	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 5, CoarseLevel = 6, CoarseCoordinate = 4,4,4, Face = NegativeZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.0078125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=45097156608 elapsedMs=1.2102	
