 awaiting normal unedited regular blocks and transition faces at each LOD	
2026/09/09 03:57:57.1874	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 0,2,-29, Face = NegativeY } generator=12 samples=127 readbackBytes=61556 maximumError=0.00022888184 nonFinite=0 signMismatches=0 nearZero=2 boundsFailures=0 solidProbe=True airProbe=True pendingFaces=68719476730 elapsedMs=1.2132	
2026/09/09 03:57:57.2022	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 0,0,-27, Face = NegativeZ } index=68 position=1056,1056,-27648 cpu=-5.2429905 gpu=-5.2430286 error=3.8146973E-05 signMismatch=False nearZero=False	
2026/09/09 03:57:57.2022	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 0,0,-27, Face = NegativeZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.00035095215 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719476714 elapsedMs=1.1924	
2026/09/09 03:57:57.2151	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 0,0,-32, Face = PositiveZ } index=15356 position=0,1024,-31712 cpu=-85.99104 gpu=-85.99049 error=0.0005493164 signMismatch=False nearZero=False	
2026/09/09 03:57:57.2151	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 0,0,-32, Face = PositiveZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.0007095337 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719476682 elapsedMs=1.3268	
2026/09/09 03:57:57.2385	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 0,-3,-29, Face = PositiveY } index=15372 position=1024,-2016,-29184 cpu=-6.5312004 gpu=-6.5312004 error=0 signMismatch=False nearZero=False	
2026/09/09 03:57:57.2385	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 0,-3,-29, Face = PositiveY } generator=12 samples=126 readbackBytes=61556 maximumError=0.0005187988 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719476674 elapsedMs=1.1846	
2026/09/09 03:57:57.2577	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = -3,0,-29, Face = PositiveX } index=14477 position=-2016,384,-29536 cpu=-0.0046977997 gpu=-0.004453659 error=0.00024414062 signMismatch=False nearZero=True	
2026/09/09 03:57:57.2577	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = -3,0,-29, Face = PositiveX } index=6443 position=-2064,912,-29296 cpu=0.0019378662 gpu=0.001953125 error=1.5258789E-05 signMismatch=False nearZero=True	
2026/09/09 03:57:57.2577	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = -3,0,-29, Face = PositiveX } generator=12 samples=127 readbackBytes=61556 maximumError=0.63684464 nonFinite=0 signMismatches=0 nearZero=2 boundsFailures=0 solidProbe=True airProbe=True pendingFaces=68719476672 elapsedMs=1.1932	
2026/09/09 03:57:57.7850	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 4,0,-15, Face = NegativeX } index=14445 position=8128,832,-28928 cpu=-12.396118 gpu=-12.396103 error=1.5258789E-05 signMismatch=False nearZero=False	
2026/09/09 03:57:57.7850	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 4,0,-15, Face = NegativeX } generator=12 samples=126 readbackBytes=61556 maximumError=0.008728027 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719476608 elapsedMs=1.3689	
2026/09/09 03:57:57.7987	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 0,4,-15, Face = NegativeY } index=15357 position=0,8128,-30656 cpu=-56.583992 gpu=-56.584007 error=1.5258789E-05 signMismatch=False nearZero=False	
2026/09/09 03:57:57.7987	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 0,4,-15, Face = NegativeY } generator=12 samples=126 readbackBytes=61556 maximumError=0.00036621094 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719476352 elapsedMs=1.3177	
2026/09/09 03:57:57.8120	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 0,0,-11, Face = NegativeZ } index=15363 position=448,0,-22592 cpu=-165.90488 gpu=-165.90488 error=0 signMismatch=False nearZero=False	
2026/09/09 03:57:57.8120	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 0,0,-11, Face = NegativeZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.0002746582 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719475328 elapsedMs=1.4084	
2026/09/09 03:57:57.8245	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 0,0,-20, Face = PositiveZ } index=14729 position=0,832,-38848 cpu=-6202.2617 gpu=-6202.2617 error=0 signMismatch=False nearZero=False	
2026/09/09 03:57:57.8245	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 0,0,-20, Face = PositiveZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.00390625 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719473280 elapsedMs=1.2189	
2026/09/09 03:57:57.8483	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 0,-5,-15, Face = PositiveY } index=13310 position=192,-8256,-30720 cpu=-92.45096 gpu=-92.450836 error=0.00012207031 signMismatch=False nearZero=False	
2026/09/09 03:57:57.8483	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = 0,-5,-15, Face = PositiveY } generator=12 samples=126 readbackBytes=61556 maximumError=0.00033569336 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719472768 elapsedMs=1.3065	
2026/09/09 03:57:57.8705	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = -5,0,-15, Face = PositiveX } index=41 position=-8192,1248,-30784 cpu=-141.99446 gpu=-141.9949 error=0.00044250488 signMismatch=False nearZero=False	
2026/09/09 03:57:57.8705	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 1, CoarseLevel = 2, CoarseCoordinate = -5,0,-15, Face = PositiveX } generator=12 samples=126 readbackBytes=61556 maximumError=0.0030059814 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719472640 elapsedMs=1.2067	
2026/09/09 03:58:00.1063	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 4,0,-7, Face = NegativeX } index=4692 position=16384,-128,-28800 cpu=-115.8733 gpu=-115.87328 error=1.5258789E-05 signMismatch=False nearZero=False	
2026/09/09 03:58:00.1063	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 4,0,-7, Face = NegativeX } generator=12 samples=126 readbackBytes=61556 maximumError=0.0004272461 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719468544 elapsedMs=1.5913	
2026/09/09 03:58:00.1063	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 0,4,-7, Face = NegativeY } index=4692 position=-128,16384,-28800 cpu=-287.9959 gpu=-287.9959 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:00.1063	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 0,4,-7, Face = NegativeY } generator=12 samples=126 readbackBytes=61556 maximumError=6.1035156E-05 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719452160 elapsedMs=1.6453	
2026/09/09 03:58:00.1333	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 0,0,-3, Face = NegativeZ } index=15388 position=4096,0,-12416 cpu=-336.8181 gpu=-336.8181 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:00.1333	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 0,0,-3, Face = NegativeZ } generator=12 samples=126 readbackBytes=61556 maximumError=3.0517578E-05 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719386624 elapsedMs=1.208	
2026/09/09 03:58:00.1461	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 0,0,-12, Face = PositiveZ } index=14498 position=0,768,-44928 cpu=-12282.836 gpu=-12282.836 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:00.1461	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 0,0,-12, Face = PositiveZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.00390625 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719255552 elapsedMs=1.1711	
2026/09/09 03:58:00.1707	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 0,-5,-7, Face = PositiveY } index=12451 position=3392,-16320,-27392 cpu=-0.021865845 gpu=-0.021865845 error=0 signMismatch=False nearZero=True	
2026/09/09 03:58:00.1707	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 0,-5,-7, Face = PositiveY } index=8028 position=3200,-16448,-27584 cpu=0.07028198 gpu=0.07019043 error=9.1552734E-05 signMismatch=False nearZero=True	
2026/09/09 03:58:00.1707	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = 0,-5,-7, Face = PositiveY } generator=12 samples=127 readbackBytes=61556 maximumError=0.0004272461 nonFinite=0 signMismatches=0 nearZero=2 boundsFailures=0 solidProbe=True airProbe=True pendingFaces=68719222784 elapsedMs=1.8093	
2026/09/09 03:58:00.1922	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = -5,0,-7, Face = PositiveX } index=0 position=-16384,-128,-28800 cpu=-245.17828 gpu=-245.17831 error=3.0517578E-05 signMismatch=False nearZero=False	
2026/09/09 03:58:00.1922	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 2, CoarseLevel = 3, CoarseCoordinate = -5,0,-7, Face = PositiveX } generator=12 samples=126 readbackBytes=61556 maximumError=6.1035156E-05 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719214592 elapsedMs=1.2732	
2026/09/09 03:58:02.2374	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 0,0,0, Face = NegativeZ } index=3654 position=8192,1792,0 cpu=-0.03513336 gpu=-0.0352421 error=0.0001087375 signMismatch=False nearZero=True	
2026/09/09 03:58:02.2374	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 0,0,0, Face = NegativeZ } index=13721 position=3840,4352,256 cpu=0.062347412 gpu=0.062316895 error=3.0517578E-05 signMismatch=False nearZero=True	
2026/09/09 03:58:02.2374	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 0,0,0, Face = NegativeZ } generator=12 samples=127 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=2 boundsFailures=0 solidProbe=True airProbe=True pendingFaces=68715020288 elapsedMs=1.4509	
2026/09/09 03:58:02.2514	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 0,0,-9, Face = PositiveZ } index=14332 position=8192,0,-65280 cpu=-32484.223 gpu=-32484.223 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:02.2514	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 0,0,-9, Face = PositiveZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.0078125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68706631680 elapsedMs=1.2674	
2026/09/09 03:58:02.2644	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 4,0,-5, Face = NegativeX } index=24 position=32768,2816,-32512 cpu=-83.53125 gpu=-83.53125 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:02.2644	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 4,0,-5, Face = NegativeX } generator=12 samples=126 readbackBytes=61556 maximumError=0.00390625 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68706369536 elapsedMs=1.1973	
2026/09/09 03:58:02.2790	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 0,4,-5, Face = NegativeY } index=4821 position=8192,32896,-33280 cpu=-0.002456665 gpu=-0.0023498535 error=0.00010681152 signMismatch=False nearZero=True	
2026/09/09 03:58:02.2790	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 0,4,-5, Face = NegativeY } index=4952 position=7936,32896,-33152 cpu=0.033935547 gpu=0.033935547 error=0 signMismatch=False nearZero=True	
2026/09/09 03:58:02.2790	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 0,4,-5, Face = NegativeY } generator=12 samples=127 readbackBytes=61556 maximumError=0.00390625 nonFinite=0 signMismatches=0 nearZero=2 boundsFailures=0 solidProbe=True airProbe=True pendingFaces=68705320960 elapsedMs=1.3934	
2026/09/09 03:58:02.3523	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 0,-5,-5, Face = PositiveY } index=4760 position=8448,-32768,-32512 cpu=-120.90248 gpu=-120.9025 error=1.5258789E-05 signMismatch=False nearZero=False	
2026/09/09 03:58:02.3523	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = 0,-5,-5, Face = PositiveY } generator=12 samples=126 readbackBytes=61556 maximumError=0.00390625 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68703223808 elapsedMs=1.3575	
2026/09/09 03:58:02.3712	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = -5,0,-5, Face = PositiveX } index=4760 position=-32768,8448,-32512 cpu=-610.9586 gpu=-610.9586 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:02.3713	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 3, CoarseLevel = 4, CoarseCoordinate = -5,0,-5, Face = PositiveX } generator=12 samples=126 readbackBytes=61556 maximumError=0.00390625 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68702699520 elapsedMs=1.2272	
2026/09/09 03:58:03.8081	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 0,0,2, Face = NegativeZ } index=15367 position=5632,0,32256 cpu=31841.543 gpu=31841.543 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:03.8081	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 0,0,2, Face = NegativeZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.00390625 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68434264064 elapsedMs=1.2798	
2026/09/09 03:58:03.8212	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 0,0,-7, Face = PositiveZ } index=14822 position=13824,7680,-97792 cpu=-64904.945 gpu=-64904.945 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:03.8212	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 0,0,-7, Face = PositiveZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.0078125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=67897393152 elapsedMs=1.1788	
2026/09/09 03:58:03.9769	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 4,0,-5, Face = NegativeX } index=2 position=65536,0,-65024 cpu=-32438.41 gpu=-32438.41 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:03.9769	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 4,0,-5, Face = NegativeX } generator=12 samples=126 readbackBytes=61556 maximumError=0 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=67880615936 elapsedMs=1.4679	
2026/09/09 03:58:03.9906	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 0,4,-5, Face = NegativeY } index=4622 position=0,65536,-65024 cpu=-30990.293 gpu=-30990.293 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:03.9906	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 0,4,-5, Face = NegativeY } generator=12 samples=126 readbackBytes=61556 maximumError=0 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=67813507072 elapsedMs=1.7245	
2026/09/09 03:58:04.1641	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 0,-5,-5, Face = PositiveY } index=4622 position=16384,-65536,-65024 cpu=-32611.008 gpu=-32611.008 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:04.1641	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = 0,-5,-5, Face = PositiveY } generator=12 samples=126 readbackBytes=61556 maximumError=0.0078125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=67679289344 elapsedMs=1.3859	
2026/09/09 03:58:04.1831	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = -5,0,-5, Face = PositiveX } index=4754 position=-65536,15360,-65024 cpu=-34451.266 gpu=-34451.266 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:04.1831	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 4, CoarseLevel = 5, CoarseCoordinate = -5,0,-5, Face = PositiveX } generator=12 samples=126 readbackBytes=61556 maximumError=0.0078125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=67645734912 elapsedMs=1.1631	
2026/09/09 03:58:05.0207	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 5, CoarseLevel = 6, CoarseCoordinate = 0,0,3, Face = NegativeZ } index=15319 position=29696,2048,97280 cpu=96692.78 gpu=96692.78 error=0 signMismatch=False nearZero=False	
2026/09/09 03:58:05.0207	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 5, CoarseLevel = 6, CoarseCoordinate = 0,0,3, Face = NegativeZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.0078125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=50465865728 elapsedMs=1.3578	
2026/09/09 03:58:05.0378	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 5, CoarseLevel = 6, CoarseCoordinate = 0,0,-6, Face = PositiveZ } index=15356 position=0,32768,-162816 cpu=-129449.625 gpu=-129449.625 error=0 signMismatch=False nearZero=False	
