density.audit.armed awaiting normal unedited regular blocks and transition faces at each LOD	
2026/09/09 05:48:00.9805	[Generic] [VoxelWorld] density.audit.block level=5 chunk=0,0,0 generator=13 settings="ProceduralTerrainSettings { WorldSeed = 1337, LandAmount = 0.75, MountainAmount = 0.35, PlainsAmount = 0.6, ContinentalScale = 131072, MountainRegionScale = 32768, LocalLandformScale = 8192, ReliefHeight = 3072, Ruggedness = 0.45, SeaLevel = 0, IsValid = True }" cellSize=512 samples=125 readbackBytes=171500 maximumErrorSample=16,-1,16 maximumErrorCpu=7953.0312 maximumErrorGpu=7953.031 maximumError=0.00048828125 maximumLatticeError=0 nonFinite=0 densityMismatches=0 signMismatches=0 nearZero=0 boundsFailures=0 nearZeroSignMismatches=0 readbackNonFinite=0 solidProbe=True airProbe=True pendingLevels=67 elapsedMs=2.2798	
2026/09/09 05:48:02.0009	[Generic] [VoxelWorld] density.audit.closest level=6 chunk=0,0,0 sample=33,23,-1 cellSize=1024 side=0 cpu=-0.22378922 cached=-0.22378922 gpu=-0.22378922 error=0 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 05:48:02.0009	[Generic] [VoxelWorld] density.audit.closest level=6 chunk=0,0,0 sample=28,2,-1 cellSize=1024 side=1 cpu=0.55143166 cached=0.55143166 gpu=0.5514355 error=3.8146973E-06 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 05:48:02.0009	[Generic] [VoxelWorld] density.audit.block level=6 chunk=0,0,0 generator=13 settings="ProceduralTerrainSettings { WorldSeed = 1337, LandAmount = 0.75, MountainAmount = 0.35, PlainsAmount = 0.6, ContinentalScale = 131072, MountainRegionScale = 32768, LocalLandformScale = 8192, ReliefHeight = 3072, Ruggedness = 0.45, SeaLevel = 0, IsValid = True }" cellSize=1024 samples=125 readbackBytes=171500 maximumErrorSample=16,-1,16 maximumErrorCpu=16267.65 maximumErrorGpu=16267.651 maximumError=0.0009765625 maximumLatticeError=0 nonFinite=0 densityMismatches=0 signMismatches=0 nearZero=0 boundsFailures=0 nearZeroSignMismatches=0 readbackNonFinite=0 solidProbe=True airProbe=True pendingLevels=3 elapsedMs=1.9868	
2026/09/09 05:48:02.7457	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 3,0,1, Face = NegativeX } index=4694 position=3072,0,992 cpu=341.10162 gpu=341.10168 error=6.1035156E-05 signMismatch=False nearZero=False	
2026/09/09 05:48:02.7457	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 3,0,1, Face = NegativeX } generator=13 samples=126 readbackBytes=61556 maximumError=0.00024414062 maximumErrorPosition=3072,-32,2080 maximumErrorCpu=1429.117 maximumErrorGpu=1429.1167 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476734 elapsedMs=2.2966	
2026/09/09 05:48:02.7746	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = -2,0,1, Face = PositiveX } index=68 position=-1024,1056,992 cpu=503.28482 gpu=503.28482 error=0 signMismatch=False nearZero=False	
2026/09/09 05:48:02.7746	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = -2,0,1, Face = PositiveX } generator=13 samples=126 readbackBytes=61556 maximumError=0.00012207031 maximumErrorPosition=-1024,144,1536 maximumErrorCpu=1068.1907 maximumErrorGpu=1068.1906 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476732 elapsedMs=2.4038	
2026/09/09 05:48:02.7935	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 2,2,1, Face = NegativeY } index=0 position=3104,2048,992 cpu=233.84424 gpu=233.84418 error=6.1035156E-05 signMismatch=False nearZero=False	
2026/09/09 05:48:02.7935	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 2,2,1, Face = NegativeY } generator=13 samples=126 readbackBytes=61556 maximumError=0.00012207031 maximumErrorPosition=2656,2048,1840 maximumErrorCpu=1107.7959 maximumErrorGpu=1107.7958 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476728 elapsedMs=1.5749	
2026/09/09 05:48:02.8141	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 2,0,3, Face = NegativeZ } index=14313 position=2464,1024,3040 cpu=2329.114 gpu=2329.114 error=0 signMismatch=False nearZero=False	
2026/09/09 05:48:02.8141	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 2,0,3, Face = NegativeZ } generator=13 samples=126 readbackBytes=61556 maximumError=0.00024414062 maximumErrorPosition=2208,656,3072 maximumErrorCpu=2386.2874 maximumErrorGpu=2386.287 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476712 elapsedMs=2.6233	
2026/09/09 05:48:02.8285	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 2,0,-2, Face = PositiveZ } index=4760 position=3104,1056,-1024 cpu=-541.683 gpu=-541.683 error=0 signMismatch=False nearZero=False	
2026/09/09 05:48:02.8285	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 2,0,-2, Face = PositiveZ } generator=13 samples=126 readbackBytes=61556 maximumError=6.1035156E-05 maximumErrorPosition=2176,800,-1024 maximumErrorCpu=-569.88116 maximumErrorGpu=-569.8812 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=True airProbe=False pendingFaces=68719476680 elapsedMs=1.9184	
2026/09/09 05:48:02.9804	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 2,-3,2, Face = PositiveY } index=1656 position=2400,-2048,2016 cpu=1336.9813 gpu=1336.9812 error=0.00012207031 signMismatch=False nearZero=False	
2026/09/09 05:48:02.9804	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 2,-3,2, Face = PositiveY } generator=13 samples=126 readbackBytes=61556 maximumError=0.00024414062 maximumErrorPosition=2176,-2048,2880 maximumErrorCpu=2214.603 maximumErrorGpu=2214.6033 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476672 elapsedMs=2.588	
